standard_id,alias,name,version,category,purpose,status,standard_type,designation,inherits_from,implemented_by,related_standards,supersedes,implementation_status,updated_at,empty_fields
STD-00018,,Standard Registry,1.0,Standards Governance™,"“Ensure every QRU creation carries the same standard of truth, clarity, connection, and human",Active,,,,,,,Implemented,2026-07-10T02:21:26.211754+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00019,,Defense Portfolio Protection,1.0,Intellectual Property & Defense™,Transform raw information into verified understanding.,Active,,,,,,,Implemented,2026-07-10T02:21:26.561468+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00020,,Methodology Manual,1.0,QRU Methodology™,QRU Methodology Manual™ Version 1.0 The Operating System for Manufacturing Human Understanding™ Document Classification: Core Intellectual Property Architecture Asset Type: Internal Methodology Standard Status: Founder A,Active,,,,,,,Implemented,2026-07-10T02:21:26.855529+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00021,,QRU Experience Design Architecture,1.0,Experience Design™,The QRU Factory™ is not designed to create ordinary educational documents.,Active,,,,,,,Implemented,2026-07-10T02:21:27.138130+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00022,,Intelligence Governance Charter,1.0,Intelligence Governance™,of the QRU Intelligence Governance,Active,,,,,,,Implemented,2026-07-10T02:21:27.595506+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00023,,Intelligence Growth Index,1.0,Intelligence Metrics™,of the QRU Intelligence Growth Index™,Active,,,,,,,Implemented,2026-07-10T02:21:27.994810+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00024,,Ownership and Classification,1.0,Ownership & Classification™,of the QRU Intellectual Property Registry™,Active,,,,,,,Implemented,2026-07-10T02:21:28.485550+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00025,,Product Assembly Blueprint,1.0,Manufacturing Blueprint™,The QRU Product Assembly Blueprint™ defines the official process for converting a completed,Active,,,,,,,Implemented,2026-07-10T02:21:28.892249+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00026,,Factory Operations Blueprint,1.0,Factory Operations™,of the QRU Factory Operating Blueprint™,Active,,,,,,,Implemented,2026-07-10T02:21:29.300283+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00027,STD-KR-0001,Knowledge Record Master Specification™,1.0,Knowledge Record Architecture™,"The QRU Knowledge Record™ Master Specification defines the required structure for creating,",Active,Technical Specification,Supporting Implementation Standard,STD-UKR-0001,STD-00030,STD-UKR-0001;STD-00030,,Implemented,2026-07-24T23:24:28.458896+00:00,supersedes
STD-00028,,Factory Agent Governance Manual,1.0,Agent Governance & Training™,The QRU Factory Agent Governance Manual™ defines how QRU intelligence agents are:,Active,,,,,,,Implemented,2026-07-10T02:21:47.962328+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00029,,Research Intelligence,1.0,Research Intelligence™,1. Demonstrate QRU was built from serious research. 2. Show investors that the architecture is informed by validated disciplines. 3. Identify what QRU borrowed as principles versus what QRU uniquely created. 4. Strengthen credibility without weakening originality.,Active,,,,,,,Implemented,2026-07-10T02:21:48.314799+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00030,STD-KR-0002,Knowledge Record Template™,1.0,Knowledge Record Architecture™,Convert unfamiliar language into accessible understanding.,Active,Working Template,Supporting Implementation Standard,STD-00027,,STD-00027,,Implemented,2026-07-24T23:24:28.459603+00:00,implemented_by;supersedes
STD-00031,,Factory Command Center Dashboard,1.0,Factory Operations™,The QRU Factory Command Center Dashboard™ provides a centralized operating view of all,Active,,,,,,,Implemented,2026-07-10T02:21:49.209835+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00032,,QRU Visual Intelligence Studio,1.0,Visual Manufacturing™,"Ensure every QRU product is engineered to help the learner Notice, Enter, Understand, Remember, Apply, Continue, and Share — Understanding should be made visible.",Active,,,,,,,Implemented,2026-07-10T18:25:51.780060+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-00033,,QRU Media Intelligence Division,1.0,Media Manufacturing™,"Manufacture Gold Standard multimedia learning across audio & video with governed voice licensing, captions/transcripts, and performance analytics.",Active,,,,,,,Implemented,2026-07-10T18:38:42.773209+00:00,alias;standard_type;designation;inherits_from;implemented_by;related_standards;supersedes
STD-EIP-0002,,QRU Enterprise Foundation Sprint A™,1.0,Enterprise Architecture,Every module belongs to a governed domain & layer; every page explains itself and knows its location.,Active,,,,,QRU-CON-0001;QRU-CON-0002;STD-MFG-0001;STD-EIP-0001,,,,alias;standard_type;designation;inherits_from;implemented_by;supersedes;implementation_status;updated_at
STD-MFG-0001,,QRU Universal Manufacturing Flow Engine™,1.0,Production Orchestration,No product exists outside the governed production flow; the Factory always knows what's next.,Active,,,,,QRU-CON-0001;QRU-CON-0002,,,,alias;standard_type;designation;inherits_from;implemented_by;supersedes;implementation_status;updated_at
STD-RFN-0001,,QRU Enterprise Refinement Initiative™,1.0,Enterprise Refinement,The simplest governed enterprise capable of producing extraordinary understanding.,Active,,,,,QRU-CON-0001;QRU-CON-0002;STD-MFG-0001;STD-EIP-0001;STD-EIP-0002,,,,alias;standard_type;designation;inherits_from;implemented_by;supersedes;implementation_status;updated_at
STD-UKR-0001,,Universal Knowledge Record™ (UKR™),1.0,Knowledge Record Architecture™,Serve as the single canonical Universal Knowledge Record standard from which every Knowledge Record and its supporting specification and template inherit.,Active,Canonical Knowledge Architecture,Canonical Knowledge Standard,STD-00005,STD-00027,STD-00005;STD-00027;STD-00030,,Implemented,2026-07-24T22:27:22.641189+00:00,alias;supersedes
